,user,text
12,ChrisTenormn,"https://t.co/MSvmZoPTse
#Worldcup2022 #worldcup #soccer #bodypaint
⚽👀"
13,MahaLFC_,"⚽️ @VirgilvDijk 

#NothingLikeOranje #WorldCup https://t.co/EHwYFRLApc https://t.co/vlvnSoZH4f"
14,_Web3AJSS21,"#SouthKorea 🇰🇷vs #Ghana 🇬🇭

 50$  #CRO  +10 Boxes🎁

👉 ❤️ 🔁 follow
👉Predict the winner (or draw) + use #FIFAWorldCup   #QuatarWorldCup2022 
👉 Join #Discord (link 🌳)

Only correct predictions will be considered⚽

#crofam #CronosChain  #soccer #WorldCup  #Giveaways #football https://t.co/RhtgCBHlTt"
15,Ikayulanda02ta1,"[💜]

Throwback BTS #WorldCup 2014!😉💜

#방탄소년단 #BTS @BTS_twt https://t.co/7l218fhwbE"
16,NiharikaMajumd4,"𝗣𝗿𝗲𝗱𝗶𝗰𝘁 𝗮𝗻𝗱 𝗪𝗶𝗻 𝗣𝗼𝗹𝗮𝗻𝗱 𝘃𝘀 𝗔𝗿𝗴𝗲𝗻𝘁𝗶𝗻𝗮 𝗙𝗶𝗳𝗮 𝗪𝗼𝗿𝗹𝗱 𝗖𝘂𝗽 𝗼𝗻 𝟬𝟭 𝗗𝗲𝗰 𝟮𝟬𝟮𝟮
#unimoni #contestalert #contest #contestalerindia #contestindia #worldcup #worldcup2022 #football  #winner #poland #argentina #polarg #polvsarg https://t.co/CJAiuCeaAm"
17,NiharikaMajumd4,"@Unimoni_India Argentina  
                         
#contestalert #contest #contestalerindia #contestindia #worldcup #worldcup2022 #football #prediction #worldcupprediction #winner 
@Unimoni_India 
Tagging
@srshylu5gmailc1 
@KDivya18740584 
@Chhbi777
@Suvajit83550528 
@AhujaSakshi13"
18,deoragunnu,"𝗣𝗿𝗲𝗱𝗶𝗰𝘁 𝗮𝗻𝗱 𝗪𝗶𝗻 𝗡𝗲𝘁𝗵𝗲𝗿𝗹𝗮𝗻𝗱𝘀 𝘃𝘀 𝗤𝗮𝘁𝗮𝗿 𝗙𝗶𝗳𝗮 𝗪𝗼𝗿𝗹𝗱 𝗖𝘂𝗽 𝗼𝗻 𝟮𝟵 𝗡𝗼𝘃 𝟮𝟬𝟮𝟮
#unimoni #contestalert #contest #contestalerindia #contestindia #worldcup #worldcup2022 #football #prediction #worldcupprediction #winner #netherlands https://t.co/S461I8b6zs"
19,xxHitokirixx,"／
【🎙選手コメント】
#サッカー日本代表
#吉田麻也
＼

📝失点場面で痛恨の判断ミスを悔やんだ吉田麻也「つなげると思った」
https://t.co/IlwZMwoZ56

#ゲキサカ #日本代表 
#jfa #daihyo #SAMURAIBLUE
#ワールドカップ #WorldCup #FIFAWorldCup https://t.co/dVCM4meeKG"
20,mixzzzzz,"World Cup Qatar 2022 has begun ⚽️🏆

To celebrate the World Cup, Mirror World have prepared events with great prizes 🎁

We have added World Cup scenes and in-game rankings to Mirrors Jump 🚀

👇 Go download and update: https://t.co/S2V1fDdLcf

#WorldCup #mirrosjump #mirrroworld https://t.co/lMnwIkesNd"
21,SikjuS,"@ChapterX_world  X  @UltiverseDao 
 
⚽️Celebrates the 2022 World Cup⚽️

📸Post a screenshot below of a winning team you picked in the Ulti-Ball tournament between 11/28-29. 

🏆4 people will win a ChapterX Pre-Alpha Pass NFT! 

Winners picked 11/30! 

#Ultiball #WorldCup"
22,Kyle23678,"Beaming with pride! 🙌

😅 @Fred08Oficial reveals the friendly rivalry among the United squad ahead of the #WorldCup 🇧🇷
 
@TeamViewer ↔️ #BringingYouCloser"
23,Godsveryownbae,"@BNBCHAIN's #Football Fiesta has arrived!🥳⚽️

To celebrate, Magpie is running a #Giveaway for #BAB Token holders!🎁

500 lucky winners will share $5,000 $MGP.💰  

Mint the Magpie x BNB Football Fiesta 2022 to participate.👇👇
https://t.co/Hwoi4Lp8De

#BNB #WorldCup #DeFi https://t.co/R6lMhrrtQb https://t.co/K6006YJWCV"
24,Ngechare,#PeterDrury  describing #Brazil football team at the entrance of the 1st #WorldCup  match vs #Serbia https://t.co/VXvZ61KUvI
25,hiimeekaa4139,"／
【🎙選手コメント】
#サッカー日本代表
#板倉滉
＼

📝ショックな敗戦にも気丈に振る舞った板倉滉「国民のみんなは下を向いているかもしれないけど…」
https://t.co/kVGhlahkm5

#ゲキサカ #日本代表 
#jfa #daihyo #SAMURAIBLUE
#ワールドカップ #WorldCup #FIFAWorldCup https://t.co/69ISTz3era"
26,techAmenyoJack,"Beaming with pride! 🙌

😅 @Fred08Oficial reveals the friendly rivalry among the United squad ahead of the #WorldCup 🇧🇷
 
@TeamViewer ↔️ #BringingYouCloser"
27,Shahzainmaliq,"⚽️World Cup🏆

The match between Brazil and Switzerland is sure to be exciting! 🔥

👉More : https://t.co/KWGLeSmErl

#WorldCup #FIFAWorldCup #FIFAWorldCupQatar2022 #FIFAWorldCup2022 https://t.co/dRzpyJbvig"
28,Vaibhav47438691,"@Unimoni_India Argentina
#unimoni #contestalert #contest #contestalerindia #contestindia #worldcup #worldcup2022 #football  #winner #poland #argentina #polarg #polvsarg"
29,NiharikaMajumd4,"𝗣𝗿𝗲𝗱𝗶𝗰𝘁 𝗮𝗻𝗱 𝗪𝗶𝗻 𝗔𝘂𝘀𝘁𝗿𝗮𝗹𝗶𝗮 𝘃𝘀 𝗗𝗲𝗻𝗺𝗮𝗿𝗸 𝗙𝗶𝗳𝗮 𝗪𝗼𝗿𝗹𝗱 𝗖𝘂𝗽 𝗼𝗻 𝟯𝟬 𝗡𝗼𝘃 𝟮𝟬𝟮𝟮
#unimoni #contestalert #contest #contestalerindia #contestindia #worldcup #worldcup2022 #football #winner #australia #denmark #qatar2022 #ausden #ausvsden https://t.co/08c8yUc4Wb"
30,44661l,"#SouthKorea 🇰🇷vs #Ghana 🇬🇭

 50$  #CRO  +10 Boxes🎁

👉 ❤️ 🔁 follow
👉Predict the winner (or draw) + use #FIFAWorldCup   #QuatarWorldCup2022 
👉 Join #Discord (link 🌳)

Only correct predictions will be considered⚽

#crofam #CronosChain  #soccer #WorldCup  #Giveaways #football https://t.co/RhtgCBHlTt"
31,Sundus75517922,"A group of westerners (non Muslims) talking about their experience in #Qatar while visiting for the #worldcup, don’t listen to the media, come and visit this side of the world for yourselves. 

#doha #qatar #doha2022 #fifaworldcup #middleeast #football #sport #sports #soccer #قطر https://t.co/8yld0Kgk6D"
32,NiharikaMajumd4,"@Unimoni_India Denmark 
                         
#contestalert #contest #contestalerindia #contestindia #worldcup #worldcup2022 #football #prediction #worldcupprediction #winner 
@Unimoni_India 
Tagging
@srshylu5gmailc1 
@KDivya18740584 
@Chhbi777
@Suvajit83550528 
@AhujaSakshi13"
33,hr_yeganeh,Basij deputy Qasem Quraishi has claimed that #Qatar provided the “complete list” of Iranian nationals who traveled for #WorldCup to #Doha. This is reckless &amp; could have deadly consequences. There are dark sides to #Qatar2022! #MahsaAmini #مهسا_امینی #IranRevolution https://t.co/nfDhZkxzKj
34,Lufiadani,"FIFA #ワールドカップ カタール2022🏆
#SAMURAIBLUE 
11/27 試合後コメント📝

🔷8 FP #堂安律  🔷

#つな超え #新しい景色を2022
#jfa #daihyo #サッカー日本代表 
#worldcup #FIFAWorldCup https://t.co/btyUgw4lwG"
35,iamfmkdev,"Beaming with pride! 🙌

😅 @Fred08Oficial reveals the friendly rivalry among the United squad ahead of the #WorldCup 🇧🇷
 
@TeamViewer ↔️ #BringingYouCloser"
36,kfkyuryovi25,"🔥 NOA!

#NothingLikeOranje #WorldCup https://t.co/NWcZ6EVdP1 https://t.co/HReSX4BJTT"
37,Massloof,"A group of westerners (non Muslims) talking about their experience in #Qatar while visiting for the #worldcup, don’t listen to the media, come and visit this side of the world for yourselves. 

#doha #qatar #doha2022 #fifaworldcup #middleeast #football #sport #sports #soccer #قطر https://t.co/8yld0Kgk6D"
38,helabetNG,"😎 Top match of today's match day! Portugal goes for the second victory!

⚽Portugal - Uruguay

⚡️ Play and win! All details on Helabet!

#worldcup #fifaworldcup #qatar2022 https://t.co/6FeROzaOch"
39,krishmb28,"Let’s talk about the elephant in the room.

While Arab football fans boycott Israelis at the World Cup, they happily use Israeli technology and innovation.  #WorldCup #Qatar #WorldCup2022 https://t.co/JZ2zFmim52"
40,jojio_illust,"トラ軍団とサバンナサッカーをするクリスチアーノロナウド

#midjourney #aiart #ワールドカップ #worldcup https://t.co/CvpHKi2Vrh"
41,kaniz_kao,"รู้หรือไม่ แมตช์อาร์เจนติน่า-เม็กซิโก ทุบสถิติผู้ชมในสนามฟุตบอลโลก มากสุดรอบ 28 ปี
#อาร์เจนติน่า #เม็กซิโก #FIFA #FIFA2022
#ชมสดบอลโลก #ถ่ายทอดสดฟุตบอลโลก  #บอลโลก #บอลโลก2022 #worldcup #WorldCup2022 
#WorldCupQatar2022 #ข่าววันนี้ #NationOnline 
https://t.co/7jJlnFzOSr"
42,21Mk777,"Not only did they kill journalist #ShireenAbuAkler, they attack her pall-bearers: israelis having a hard time at the #WorldCup? @Jill_Azzouzi https://t.co/A8I4JjJMy7"
43,Ares__YNWA,"FIFA #ワールドカップ カタール2022🏆
#SAMURAIBLUE 
11/27 試合後コメント📝

🔷8 FP #堂安律  🔷

#つな超え #新しい景色を2022
#jfa #daihyo #サッカー日本代表 
#worldcup #FIFAWorldCup https://t.co/btyUgw4lwG"
44,jaemincityx22,"25,000,000 #BIB #Token Prize Pool for you to Win!
 
#BIBMeta is having a #WorldCup Championship Tournament Prediction 2022
 
Predict match results and win tickets each match after the end of every round!
 
Vote for your Favorite Team now!
 
Vote here: https://t.co/Xz6j0B7hK4 https://t.co/cVliNLoUVI"
45,picqaw,"25,000,000 #BIB #Token Prize Pool for you to Win!
 
#BIBMeta is having a #WorldCup Championship Tournament Prediction 2022
 
Predict match results and win tickets each match after the end of every round!
 
Vote for your Favorite Team now!
 
Vote here: https://t.co/Xz6j0B7hK4 https://t.co/cVliNLoUVI"
46,Obi93896977,"Africa is wasting time in #WorldCup . #Biafra is the glory of Africa. Until injustice against Biafra is corrected and Biafra restored, Africa goes no where. Catch fun while watching the Worldcup, forget any trophy . 
@_AfricanUnion"
47,ChilizMx,"🎉Share $80,000 Worth of Fan Tokens #ARG #POR by Answering Quizzes 

✅ Take the quiz to share $30,000
✅ Answer 1 question correctly to share $30,000
✅ Answer all questions correctly to share $20,000

Join now🥳https://t.co/0YqATrPQSZ

#worldcup #messi @Cristiano #FIFAWorldCup https://t.co/gKivzirn7B"
48,IPOBIvoryCoast,"Africa is wasting time in #WorldCup . #Biafra is the glory of Africa. Until injustice against Biafra is corrected and Biafra restored, Africa goes no where. Catch fun while watching the Worldcup, forget any trophy . 
@_AfricanUnion"
49,akun_multi11,"25,000,000 #BIB #Token Prize Pool for you to Win!
 
#BIBMeta is having a #WorldCup Championship Tournament Prediction 2022
 
Predict match results and win tickets each match after the end of every round!
 
Vote for your Favorite Team now!
 
Vote here: https://t.co/Xz6j0B7hK4 https://t.co/cVliNLoUVI"
50,Satwikreddy06,Royce #WorldCup Rolf #世界杯 Trent #捞偏门 Kenway #世界杯投注  https://t.co/zcB1kXDo4B
51,ezecele02415342,"Africa is wasting time in #WorldCup . #Biafra is the glory of Africa. Until injustice against Biafra is corrected and Biafra restored, Africa goes no where. Catch fun while watching the Worldcup, forget any trophy . 
@_AfricanUnion"
52,CFC_RICK_1985,"See what the Last Word on Football team thinks will happen when #Brazil battle #Switzerland in the #WorldCup 

https://t.co/gGg4Tty44X"
53,iniKansha,"25,000,000 #BIB #Token Prize Pool for you to Win!
 
#BIBMeta is having a #WorldCup Championship Tournament Prediction 2022
 
Predict match results and win tickets each match after the end of every round!
 
Vote for your Favorite Team now!
 
Vote here: https://t.co/Xz6j0B7hK4 https://t.co/cVliNLoUVI"
54,intimetosee,"😁 @DeJongFrenkie21 

#NothingLikeOranje #WorldCup https://t.co/xtw1t2Wp9u https://t.co/Mw2BJKvPVi"
55,NNNSuccsess,"25,000,000 #BIB #Token Prize Pool for you to Win!
 
#BIBMeta is having a #WorldCup Championship Tournament Prediction 2022
 
Predict match results and win tickets each match after the end of every round!
 
Vote for your Favorite Team now!
 
Vote here: https://t.co/Xz6j0B7hK4 https://t.co/cVliNLoUVI"
56,ahmad221992,"25,000,000 #BIB #Token Prize Pool for you to Win!
 
#BIBMeta is having a #WorldCup Championship Tournament Prediction 2022
 
Predict match results and win tickets each match after the end of every round!
 
Vote for your Favorite Team now!
 
Vote here: https://t.co/Xz6j0B7hK4 https://t.co/cVliNLoUVI"
57,Qwesi31,"Good luck, @jordan_ayew9 💪🇬🇭

#CPFC | #WorldCup https://t.co/h8i4BFptZg"
58,alexreed_3,"Dire predictions yesterday, let’s hope todays are better 🤣

“Hot” takes on:

Cameroon vs Serbia
South Korea vs Ghana
Brazil vs Switzerland 
Portugal vs Uruguay 

🔮⚽️ #Qatar2022 #Worldcup https://t.co/DDAvXmeEGV"
59,FahmiApri,"PIALA DUNIA 2022

KAMERUN 3 - 3 SERBIA
29"" Castelletto
63"" Aboubakar
66"" Choupo Moting

45"" Pavlovic
45"" Savic
53"" Mitrovic

#worldcup #cameroon #serbia #castelletto #aboubakar #choupomoting #pavlovic #savic #mitrovic #sepakbolanih https://t.co/SyOc8dDzuw"
60,rubendariopoem,"Not only did they kill journalist #ShireenAbuAkler, they attack her pall-bearers: israelis having a hard time at the #WorldCup? @Jill_Azzouzi https://t.co/A8I4JjJMy7"
61,bpphpmi,#indonesiabebaskemiskinan2045 #himpunanpengusahamahasiswaindonesia #pengusaha #instagood #sukses #wirausaha #umkm #style #qatarworldcup2022 #vlahović #senin #mahasiswa #tempur #serbia #worldcup #raffiahmad #vidalsassoon
62,nearfuture2030,"／
【🎙選手コメント】
#サッカー日本代表
#板倉滉
＼

📝ショックな敗戦にも気丈に振る舞った板倉滉「国民のみんなは下を向いているかもしれないけど…」
https://t.co/kVGhlahkm5

#ゲキサカ #日本代表 
#jfa #daihyo #SAMURAIBLUE
#ワールドカップ #WorldCup #FIFAWorldCup https://t.co/69ISTz3era"
63,BridgetRuskin5,Ivy #乐动 Elbert #世界杯 Misty #WorldCup Evelyn #世界杯投注  https://t.co/QwNaIM5uIf
64,mizar,"Beaming with pride! 🙌

😅 @Fred08Oficial reveals the friendly rivalry among the United squad ahead of the #WorldCup 🇧🇷
 
@TeamViewer ↔️ #BringingYouCloser"
65,dan___smith,"今日はサッカーＷ杯 日本vsコスタリカ戦に便乗するデビ！
試合開始までテレビの前で待機しつつ 良い結果になることを楽しみにしていますデビ！(｀･ω･´)⚽️

#Ｗ杯 #ワールドカップ #サッカー #日本vsコスタリカ #イラスト #キャラクター
#worldcup #illustration #character #kawaii #followme https://t.co/D7UTgaxh16"
66,kumimelody3,"FIFA #ワールドカップ カタール2022🏆
#SAMURAIBLUE 
11/27 試合後コメント📝

🔷14 FP #伊東純也  🔷

#つな超え #新しい景色を2022
#jfa #daihyo #サッカー日本代表 
#worldcup #FIFAWorldCup https://t.co/Bs1P2TUJph"
67,WanjaraEnoce,The #WorldCup so much fun to watch with our @WorldCupFrogs by @TheStonedFrogs yah #Australia (just paid for itself) yippie #France ⚽️ well that was fun.  Tomorrow Go #Canada #Germany #Spain because those are the #NFT we have. https://t.co/TA21PtYWSW
68,22333l,"#SouthKorea 🇰🇷vs #Ghana 🇬🇭

 50$  #CRO  +10 Boxes🎁

👉 ❤️ 🔁 follow
👉Predict the winner (or draw) + use #FIFAWorldCup   #QuatarWorldCup2022 
👉 Join #Discord (link 🌳)

Only correct predictions will be considered⚽

#crofam #CronosChain  #soccer #WorldCup  #Giveaways #football https://t.co/RhtgCBHlTt"
69,SiriusXMFC,"My latest blog from Qatar for @SiriusXM &amp; @SiriusXMFC 

Attending a game at at transportable stadium &amp; an interesting street vendor &amp; supporters at Souq Waquf. 

#WorldCup #WorldCup2022 #Qatar2022 #FIFAWorldCup #ElTri #Wales

https://t.co/WgjdYN1pw6"
70,GFTmusic,"🚨🎁ARE GOING TO MAKE BIG! You still have time until November 30th at 11.59pm.. 

1️⃣Follow @BadboyBettereal 
2️⃣Like♥️♻️Retweet 
3️⃣Tag 2 friends 

❌Fake account or public figure

https://t.co/3zUdVxZYrI 🎉WIN JUDE BELLINGHAM LIMITED EDITION #Sorare #Giveaway #WorldCup #TeamSorare https://t.co/AxvtwTZfM4"
71,AnaghaBhanu,"#Cameroon come back from two goals down to break their 8-game losing streak at the World Cup 💥
#WorldcupQatar2022 #worldcup https://t.co/6qoXWguOx5"
72,Bipinku32991290,Ivy #乐动 Elbert #世界杯 Misty #WorldCup Evelyn #世界杯投注  https://t.co/QwNaIM5uIf
73,SaminuGardi,"The Indomitable Lions of Cameroon will compete against the Eagles of Serbia in the second leg of the #WorldCup playoff.

Who do you think would win?"
74,TremxineV,"A group of westerners (non Muslims) talking about their experience in #Qatar while visiting for the #worldcup, don’t listen to the media, come and visit this side of the world for yourselves. 

#doha #qatar #doha2022 #fifaworldcup #middleeast #football #sport #sports #soccer #قطر https://t.co/8yld0Kgk6D"
75,gidcom_t,"Game ✌️ for Licha, let's go! 🇦🇷

❤️ @LisandrMartinez 

#MUFC || #WorldCup https://t.co/N8TLExxfu9"
76,tribunpontianak,"Klasemen Piala Dunia 2022 Hasil Kamerun Vs Serbia , 2 Tim Lolos 16 Besar Grup G Mesti Duel Pamungkas #pialadunia #PialaDuniaQatar #PialaDunia2022live #WorldCup #WorldcupQatar2022 #WorldCup2022 #WorldCupFantasy 
 
https://t.co/MLqqQE1PWF lewat @tribunpontianak"
77,AR10ym,"FIFA #ワールドカップ カタール2022🏆
#SAMURAIBLUE 
11/27 試合後コメント📝

🔷14 FP #伊東純也  🔷

#つな超え #新しい景色を2022
#jfa #daihyo #サッカー日本代表 
#worldcup #FIFAWorldCup https://t.co/Bs1P2TUJph"
78,jawedghauri,Israelis hold Palestinian journalist Lama Gosheh under home arrest for another month forbidden from reporting any news:#WorldCup anyone? https://t.co/VyOYFFkdm9
79,PiNetworkGhana,"A group of westerners (non Muslims) talking about their experience in #Qatar while visiting for the #worldcup, don’t listen to the media, come and visit this side of the world for yourselves. 

#doha #qatar #doha2022 #fifaworldcup #middleeast #football #sport #sports #soccer #قطر https://t.co/8yld0Kgk6D"
80,WestgateMallKe,"South Korea Vs Ghana! 
Place your bets and come watch the game at #strikezke 

#football #fifa #game #worldcup https://t.co/Epi9LlDS3K"
81,clubdoria46,"#Sampdoria #Mondiale, #Djuricic entra nel #finale contro il #Camerun. La #partita #Qatar #Qatar2022 #WorldCup https://t.co/SjLPRarfat"
82,tinasiouz,"At @nihisumba in Sumba, East Nusa Tenggara, the World Cup season festivity was also felt by one of the resort's majestic residents!

#WonderfulIndonesia
#WorldCup https://t.co/pryEGDlNJ0"
83,ggcouk,"⚽️ HUGE WORLD CUP OFFER ⚽️

Perfect for the #WorldCup action today 👌

BetUK are offering a HUGE £66 in FREE BETS when you sign up here + place a £19 bet! 👇

£66 FREE BETS ➡️ https://t.co/JurZmh320Q 

*New Customer Offer*

🔞 T&amp;C's Apply. BeGambleAware #Ad https://t.co/riXsW3BDL8"
84,GustaveTout10,Simba wasiofugika. Indomitable lion cameroon 🇨🇲 vs Serbia what a match.. Sory wife #worldcup is too sweet 🤣🤣🤣 https://t.co/p4gV33XN2U
85,TheOnlyHorus,"A group of westerners (non Muslims) talking about their experience in #Qatar while visiting for the #worldcup, don’t listen to the media, come and visit this side of the world for yourselves. 

#doha #qatar #doha2022 #fifaworldcup #middleeast #football #sport #sports #soccer #قطر https://t.co/8yld0Kgk6D"
86,xxHitokirixx,"／
【🎙選手コメント】
#サッカー日本代表
#堂安律
＼

📝5バックの前に沈黙した攻撃陣…堂安律「相手のワナにハマってしまった」
https://t.co/n22FyYE3th

#ゲキサカ #日本代表 
#jfa #daihyo #SAMURAIBLUE
#ワールドカップ #WorldCup #FIFAWorldCup https://t.co/DlyKxw3w2q"
87,Truong_qna,"🔥#NBOX x @Galxe #Christmas #NFTAirdrop🔥

Ready guys❓Event2.0 begins Today😍

✅Task
1⃣Flw, Like, Quote RT with #NFTGiveaways #NBOXOfficial #WorldCup2022

2⃣Register @ https://t.co/dOtUBTXlMU with Wallet Address

🎁Win
#WorldCup OAT+Event3.0 Entry

Join👉https://t.co/22nz9JvLc1 https://t.co/L2pJdYp7fV"
88,ColbyOl59666740,Simba wasiofugika. Indomitable lion cameroon 🇨🇲 vs Serbia what a match.. Sory wife #worldcup is too sweet 🤣🤣🤣 https://t.co/p4gV33XN2U
89,jhmbfr,"Game ✌️ for our Brazilian Reds — we're right behind you, lads! 🇧🇷

#MUFC || #WorldCup https://t.co/RfqaTUliJ1"
90,naijaloveinfo,"@sportbible @sportbible , your information is absolutely wrong!

Late Rashidi Yekini was the first African to score &amp; assist in a #FIFAWorldCup match in #Nigeria 3-0 #Bulgaria at 1994 #WorldCup in #USA 

Yekini scored the 1st goal &amp; assisted Daniel Amokachi for the 2nd goal
 
#Naijaloveinfo"
91,EarlLowell7,Simba wasiofugika. Indomitable lion cameroon 🇨🇲 vs Serbia what a match.. Sory wife #worldcup is too sweet 🤣🤣🤣 https://t.co/p4gV33XN2U
92,ZebulonCommons5,Simba wasiofugika. Indomitable lion cameroon 🇨🇲 vs Serbia what a match.. Sory wife #worldcup is too sweet 🤣🤣🤣 https://t.co/p4gV33XN2U
93,OnsOranje,"🔥 NOA!

#NothingLikeOranje #WorldCup https://t.co/NWcZ6EVdP1 https://t.co/HReSX4BJTT"
94,Chiwapudoru2525,We are thrilled to partner with @okx during this #worldcup season. Import your address into OKX Web3 wallet will have the chance to receive 1 NFT #Airdrops and share a total of more than 2 million Prize Pool!⚽️
95,arash62390433,"As talks of #WorldCup2022 &amp; Iran's un-patriotic team have been circulating thought a flashback would be fit to #WorldCup 98-Lyon!
a turning point for many in my generation to join the resistance for #IranRevolution &amp; #FreeIran -1st encounter with IRGC thugs
#انحلال_سپاه_پاسداران https://t.co/6N3UeojVEA"
96,HanoufAlmutairi,"كاس العالم مسوي لنا جو يارب مايخلص🤣وناسه
#WorldcupQatar2022 
#WorldCup 
#QatarWorldCup2022 
#كأس_العالم_قطر_2022"
97,VBellars,"#RT @ManUtd: Beaming with pride! 🙌

😅 @Fred08Oficial reveals the friendly rivalry among the United squad ahead of the #WorldCup 🇧🇷
 
@TeamViewer ↔️ #BringingYouCloser"
98,Insurerity,"What are your predictions in today's match

#insurerity #ghana #follow #africa #fifaworldcup #worldcup #qatar #fifa #cr #football #messi #manchesterunited #championsleague #leomessi #cristiano #goldenboot #parisangerman #manunited #worldcupqualifier #soccer #worldcupqualifiers #d https://t.co/qnn5mZ4TJq"
99,0xcitywin,"25,000,000 #BIB #Token Prize Pool for you to Win!
 
#BIBMeta is having a #WorldCup Championship Tournament Prediction 2022
 
Predict match results and win tickets each match after the end of every round!
 
Vote for your Favorite Team now!
 
Vote here: https://t.co/Xz6j0B7hK4 https://t.co/cVliNLoUVI"
