user,text
NeilTalks,Meme of the day... #Qatar2022 #WorldCup #WorldcupQatar2022 https://t.co/5iyRYz4Rep
ChrJCarlson,#Protester with #rainbowflag interrupts men's #WorldCup game in #Qatar | CBC News https://t.co/aoHJ2NwCNh
John_P_Carvalho,"The Freeze announcement also overshadowed my celebration of an awesome #WorldCup win by #Portugal over Uruguay, which assures them of a spot in the knockout round. #ForçaPortugal"
HenriqueOut,❤️ #Worldcup @FIFAWorldCup https://t.co/Yg5nA7HxLM
Bitcoin4Bit,"TOP GAMES DIGEST MINGGUAN
https://t.co/JkfcIJTxek
Game terbaik dgn BOOSTED ODDS minggu ini (28.11-04.12)
        ⚽️
#QatarWorldCup2022 #WorldCup https://t.co/UISyTGA0ll
@Lux_____Sky @Fier1012 @coinkit_ com 5 50 btc @BetFury_Sport"
daika2k1,"📢Launch #Collab #Giveaway for #Wristband

🎁Wear your #Wristband and enter for the #Web3 #WorldCup #Campaign

🔗#SoQuest Task
https://t.co/BxFlts6Mwg

👀Click to know more⤵️
https://t.co/jndsmwYnx9

🎯 Powered by @0xChamcha  @_p12_  @0xNawarat @metaestate_com  @Port3Network https://t.co/vTJyXt4p5p"
Gonziillaa,"Qatari security forces are continuously harassing and detaining Iranian football fans for wearing ‘Woman Life Freedom’ shirts. 

The IRI tentacles reach far and wide. 

#WorldCup #WorldCup2022"
TehranWatcher,"#Iran's Players Face Conflicting Pressures Before #WorldCup Showdown with US

#MahsaAmini https://t.co/jcNYWjmTa6"
MokamSingh4949,"⚽️@idexo_io + @okxweb3 #WorldCup fun!

🥳 Get 50 #OKX #FootballCup #NFTs and share the total prize pool of $2million! 

👇To win 
1. Follow @idexo_io + @okxweb3
 
2. Download OKX App, create or import a wallet: https://t.co/RfnrJmJ8LA

3. Fill the form: https://t.co/E83u2nldzK https://t.co/bRJv8VGiRE"
SantosJAnthony,"Probably for the best that'll be stuck at work tomorrow for most of the #USAvIRN #WorldCup match. Oh well.
Hey, remember when #JuanAgudelo  scored a goal against #Argentina? https://t.co/jeXE4zb0Hm via @YouTube"
JyothiRajesh4,"Let’s talk about the elephant in the room.

While Arab football fans boycott Israelis at the World Cup, they happily use Israeli technology and innovation.  #WorldCup #Qatar #WorldCup2022 https://t.co/JZ2zFmim52"
AyazShaikh_,"You don’t see media from Japan 🇯🇵 or Ghana 🇬🇭, Senegal 🇸🇳 or Argentina 🇦🇷  condemning the #WorldCup in Qatar. 

Only Europe and the United States — nations that have colonized the entire world, who still arrogantly believe that they are the center of the world."
Livia17053671,Attendant #WorldCup Ethan #世界杯 Lorelei #捞偏门 Herman #世界杯买球  https://t.co/5RLMTF6mjI
MediaUnknwn,Protests in Iran and China. And at the World Cup #ProtestinIran #China #WorldCup https://t.co/p9bCU9ZKNv
nandaputrafbs,"Piala Dunia 2022 : Berkat Casemiro, Brasil Lolos ke 16 Besar
#PialaDunia2022 #WorldcupQatar2022 #WorldCup https://t.co/HH2WxSkmry lewat @Holopis.com"
goliizz,"It’s giving “she deserved it cuz she wore a short skirt” energy. 

What a disgrace.

#WorldCup https://t.co/DUBdmypqAH"
SaskJrDbacks,"Friend of the show, Ty Sebastian, throws a no hitter in his first ever @WBSC start as @SoftballCanada defeats South Africa 11-0. 
Seabass stuck out 12 batters in the process. 
#wbsc #worldcup #canada #nohitter https://t.co/QiIdfmQ6jx"
daika2k1,"📢Launch #Collab #Giveaway for #Wristband

🎁Wear your #Wristband and enter for the #Web3 #WorldCup #Campaign

🔗#SoQuest Task
https://t.co/HWEG0G0IZH

👀Click to know more⤵️
https://t.co/eh7QbiIapi

🎯 Powered by @Sporten618  @_p12_  @0xNawarat @metaestate_com  @Port3Network https://t.co/Di3Ry7WHm4"
LHyperlite,"Good job!
https://t.co/H7uKUwIP9P
#car #BMW #Toyota #garage #Today #CyberMonday2022 #cleaningtips #improvement #NEW #night #fixing #repairs #DIY #handmade #WorldCup https://t.co/SrRRvIAVDd"
HalaMadridHh,"البرتغال طبعًا ضمنت الصدارة من الجولة الثانية وليس مجرد تأهل 👌🏼💯🇵🇹
#كأس_العالم_قطر2022 #WorldCup https://t.co/0Gqv4pfy2R"
sarkarellieh,"It’s giving “she deserved it cuz she wore a short skirt” energy. 

What a disgrace.

#WorldCup https://t.co/DUBdmypqAH"
UMnowr8,"توقع نتيجة مباراة منتخبنا السعودي 🇸🇦 والمكسيك 🇲🇽 واربح احد منتجاتنا 🔥
سنقوم بأختيار ٥ رابحين من أصحاب التوقع الصحيح بطريقة عشوائية ✨ 
كولن تسعي لأسعادكم 🧡
 #كولن #كأس_العالم #المملكةالعربيةالسعودية  #المكسيك #mexico #worldcup https://t.co/IqC3XHDxXb"
cherishttoki,"A first #WorldCup goal for @B_Fernandes8 ⚽️✅

#MUFC https://t.co/i93SUQKxow"
kausajaaaa,"🇧🇷 @Casemiro’s winner has booked Brazil’s place in the knockout stages of the #WorldCup! 👏

#MUFC https://t.co/kkoJY8epmp"
CanuckCognizant,❤️ #Worldcup @FIFAWorldCup https://t.co/Yg5nA7HxLM
angelskye77,"Ready for another #WorldCup test 👊

#MUFC || @MarcusRashford"
reallycool31,"FOLLOW &amp; RT TO WIN:

Want to win a signed #WorldCup jersey from #USMNT star @WMckennie?

1 - Be following this account
2 - RT this post
3 - Tag a friend for an additional chance to win

We'll pick two winners at the end of the week! https://t.co/TzvEXVS4P2"
kanikachotwani,"How to Win a $100 Amazon Gift Card:

👆 Follow @toshibatvglobal
✌️ RT this post
👇 Comment your answer using #ToshibaTV

We are selecting 3 winners!

Giveaway ends on December 18, 2022.
#HomeEntertainment #Qatar #ToshibaTV #WorldCup https://t.co/dr9R2fPw5X"
patako_tb,"／
【🎙選手コメント】
#サッカー日本代表
#前田大然
＼

📝スペイン撃破に強気なFW前田大然「GKにプレスに行くと獲れそう」
https://t.co/vzHPX3Nl7U

#ゲキサカ #日本代表 
#jfa #daihyo #SAMURAIBLUE
#ワールドカップ #WorldCup #FIFAWorldCup https://t.co/Vohwbjp2pI"
britsoundzz,"EMPAT pemain United pastikan tempat di 16 besar #WorldCup sejauh ini. Terbanyak diantara tim #PL lainnya 😎

Ngeri FC

#MUFC https://t.co/3EOb5YM9Ie"
MilwaukeeHotBuy,"SOBER THE FUCK UP!, ANXIETY, CUTTERS, OA's, ex AA's, ex NA's, Bulimia, etc. start your own meeting https://t.co/Z9nElvP7jq #caps #nascar #dolphins #worldcup #dwts #agt #airforce #recovery #canada #aa #na #america  #india #japan"
nandaputrafbs,"Brasil, Portugal dan Prancis Lolos Prematur ke Babak 16 Besar Piala Dunia 2022
#Brasil #WorldcupQatar2022 #WorldCup https://t.co/EtbUXW0eGn lewat @Holopis.com"
M00000000M000,"During the #WorldCup match between Portugal and Uruguay, a fan ran to the field wearing a shirt with “Respect for Iranian Women” and “Save Ukraine” written on each side, in addition to holding the LGBTQIA+ flag. https://t.co/7P6vpW7IDE"
daika2k1,"📢Launch #Collab #Giveaway for #Wristband

🎁Wear your #Wristband and enter for the #Web3 #WorldCup #Campaign

🔗#SoQuest Task

https://t.co/J6mSrt8jMM

👀Click to know more⤵️

https://t.co/dV94mhg07Y

🎯 Powered by @Mises001  @_p12_  @0xNawarat @metaestate_com  @Port3Network https://t.co/M56UqW9YJn"
DanielNewman,❤️ #Worldcup @FIFAWorldCup https://t.co/Yg5nA7HxLM
Nkosekhaya686,"Hoping to see you make your #WorldCup debut tonight, @DalotDiogo 💪

#MUFC"
SaskJrDbacks,"What a performance from @Cleary_11 and @derekmayson 🔥🔥🔥
Canada defeats Australia by a score of 6-0 to improve to 4-0. 
#wbsc #worldcup #canada https://t.co/yIM38F4hNc"
Yas16681145,"Qatari security forces are continuously harassing and detaining Iranian football fans for wearing ‘Woman Life Freedom’ shirts. 

The IRI tentacles reach far and wide. 

#WorldCup #WorldCup2022"
CLenaigwanai,"Ready for another #WorldCup test 👊

#MUFC || @MarcusRashford"
Kandis44600700,Helen #WorldCup Theodore #世界杯 Strong #捞偏门 Dwayne #世界杯投注  https://t.co/OgUZU1b6re
RiponKMahato,"Here's how it works:
Guess the score of the tournament, retweet, and comment on the twitter post tagging 3 of your friends.
Use the hashtag #Frontera #worldcup #Fronteraworldcup 

Comments posted after 18:00 27th November 2022 UTC will not be counted."
Nkosekhaya686,"🔀 A mixed night for our Reds...

🇵🇹 Congrats to @B_Fernandes8 and @DalotDiogo on your victory 👌
🇺🇾 Commiserations, @FPellistri07: wishing you luck for the final group game on Friday 👊

#MUFC || #WorldCup https://t.co/TuYR6SNyYo"
SamanArbabi,"It’s giving “she deserved it cuz she wore a short skirt” energy. 

What a disgrace.

#WorldCup https://t.co/DUBdmypqAH"
udayreddy96030,Laughter #WorldCup Grain #世界杯 Ezra #Aptos Magda #世界杯投注  https://t.co/8iFnK1Caoh
marurun35836673,"Happy Monday! Have a wonderful week!

You can overcome anything, if and only if you love something enough.-Lionel Messi-😊🥰🇦🇷⚽🏃💨💓
#WorldCup2022 #WorldCup https://t.co/rXM5aOytwf"
WhiteCrow198,"It’s giving “she deserved it cuz she wore a short skirt” energy. 

What a disgrace.

#WorldCup https://t.co/DUBdmypqAH"
RiponKMahato,"@FronteraNFT Spain 1-1 Germany

@sepMasudRana
@TRTHIEN2
@Airtiger_1

#Frontera #worldcup #Fronteraworldcup"
rahmaa22__,"25,000,000 #BIB #Token Prize Pool for you to Win!
 
#BIBMeta is having a #WorldCup Championship Tournament Prediction 2022
 
Predict match results and win tickets each match after the end of every round!
 
Vote for your Favorite Team now!
 
Vote here: https://t.co/Xz6j0B7hK4 https://t.co/cVliNLoUVI"
sandropacheco71,"Some parting words for #Canada’s🇨🇦 #JohnHerdman from #Croatia’s🇭🇷#AndrejKramaric after #CRO defeated #CAN 4-1 on Sunday November 27, 2022 at the 2022 #FIFAWorldCup. #MakingHistory #FIFAWorldCupQatar2022 #WorldCup #Qatar2022 #QatarWorldCup2022 #Cro #Can #OhCanada🇨🇦#LetsGoCanada🇨🇦 https://t.co/rVcrPMAPhG"
daika2k1,"📢Launch #Collab #Giveaway for #Wristband

🎁Wear your #Wristband and enter for the #Web3 #WorldCup #Campaign

🔗#SoQuest Task
https://t.co/r3TorJxa9L

👀Click to know more⤵️
https://t.co/Q9AWEgIPKv

🎯 Powered by @4everland_org  @_p12_  @0xNawarat  @metaestate_com  @Port3Network https://t.co/SZ2g8ibPFW"
HA7CLASSICS,"Batigol 🔥

https://t.co/sNZkbns1TI

#messi #batistuta #batigol #argentina #worldcup #adidas #fifaworldcup #FootballShirts #ClassicFootballShirts #VintageFootballShirts #RetroFootballShirts #ClassicFootball #SoccerJersey #jerseycollector #footballshirtcollection #classicsoccer https://t.co/2CpoxlwhpB"
hailey_hailey85,"A first #WorldCup goal for @B_Fernandes8 ⚽️✅

#MUFC https://t.co/i93SUQKxow"
i_katahara,"／
【試合日程】
カタールW杯🏆
📌グループリーグ第3節
📅11月29日(火)
＼

📝全64試合の大会日程とテレビ放送・配信スケジュールはこちら
https://t.co/SpTf8kyKxL

#ゲキサカ #ワールドカップ #WorldCup #FIFAWorldCup https://t.co/oKYh9BiWCn"
SbotopM,#Sbotop #2022WorldCup #BrunoFernandes #DiogoJota #EdinsonCavani #OttoAddo #PauloBento #SonHeungmin #WorldCup #WorldCupGroupH
Hottie4Sports,"11/29 TUESDAY Sports Picks

🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 

The more LIKES &amp; RETWEETS your favorite cappers, the more I will post!

The more likes and All we ask for is exposure🙏

#GamblingTwitter #Hottie4Sports #WorldCup #FreeWinners #NFL #NBA #NHL #NCAAHoops  #Soccer #FreePicks https://t.co/Tt1A4ENI5j"
Dro89_,"And we are live - go to https://t.co/qfGj4Fae8z to mint your #WorldCup bow tie boy - win awesome prizes and donate to good causes 🏆

Official OS: https://t.co/3MfVR4kVbQ 🎉

Looking forward to an awesome event with you all 💕 @3L3NFT @MorningStomp #3L3Herd https://t.co/CHx3nqevwD"
daika2k1,"📢Launch #Collab #Giveaway for #Wristband

🎁Wear your #Wristband and enter for the #Web3 #WorldCup #Campaign

🔗#SoQuest Task
https://t.co/tngaU4cstC

👀Click to know more⤵️
https://t.co/sIoRHS2PCx

🎯 Powered by @SwappiDEX  @_p12_  @0xNawarat  @metaestate_com  @Port3Network https://t.co/M8RkOPPiCu"
mosesbakash,"Ready for another #WorldCup test 👊

#MUFC || @MarcusRashford"
ripple2423,Vance #WorldCup Tracy #世界杯 Scott #Aptos Noblewoman #世界杯投注  https://t.co/FxY93zV2bN
lilieboo327,"25,000,000 #BIB #Token Prize Pool for you to Win!
 
#BIBMeta is having a #WorldCup Championship Tournament Prediction 2022
 
Predict match results and win tickets each match after the end of every round!
 
Vote for your Favorite Team now!
 
Vote here: https://t.co/Xz6j0B7hK4 https://t.co/cVliNLoUVI"
Biafran2020,"Africa is wasting time in #WorldCup . #Biafra is the glory of Africa. Until injustice against Biafra is corrected and Biafra restored, Africa goes no where. Catch fun while watching the Worldcup, forget any trophy . 
@_AfricanUnion"
NEORAM27,"La arepa es venezolana en el mundial de Qatar. 😁🇻🇪🥳🇶🇦🏃👟⚽️🏆🏟

#Qatar2022 #FIFAWorldCup #WorldCup #WorldCup2022 #WorldCupQatar2022 #FIFA #Qatar #MundialQatar2022  #Copa2022 #Venezuela #SomosVinotinto #VamosVinotinto https://t.co/x32gw3tfOu"
NEORAM27,"VIDEO VIRAL: Ecuatorianos en estadio de fútbol en Qatar gritando: ""Queremos cerveza, queremos cerveza"". 💪😈🍺🍺🍺

Ecuadorian fans chant: ""We want beer"". 🤣😈🔥

https://t.co/eRLwrLDQ4T

#Qatar2022 #FIFAWorldCup #WorldCup #WorldCup2022 #WorldCupQatar2022 #MundialQatar2022 #FIFA"
Vik55556733,"Vinicius really tried with Suíça, but Yan Sommer said no 🙅🏻 Amazing catch, although we can't say the same about Casemiro! Faltam 5!👏

Check out their NFTs on our website:
https://t.co/XsgsLQu5Iy

#Walows #WalowsQatar #SUIBRA #BRASUI #NFT #WorldCup https://t.co/TOEMrM0eSR"
ledungbuild,"🔥#NBOX x @Galxe #Christmas #NFTAirdrop🔥

Ready guys❓Event2.0 begins Today😍

✅Task
1⃣Flw, Like, Quote RT with #NFTGiveaways #NBOXOfficial #WorldCup2022

2⃣Register @ https://t.co/dOtUBTXlMU with Wallet Address

🎁Win
#WorldCup OAT+Event3.0 Entry

Join👉https://t.co/22nz9JvLc1 https://t.co/L2pJdYp7fV"
ashsarara,"Happy Monday! Have a wonderful week!

You can overcome anything, if and only if you love something enough.-Lionel Messi-😊🥰🇦🇷⚽🏃💨💓
#WorldCup2022 #WorldCup https://t.co/rXM5aOytwf"
143Leinad,"🚨$1,000 GIVEAWAY

⚽️Ready to #MakeItCount with #Messi?

🏆To celebrate, we're giving away $1,000 worth of $BGB and a signed #BitgetxMessi jersey!

To win ⤵️
✅ Sign up #Bitget: https://t.co/OlTgUVtPuD
✅ Complete the tasks: https://t.co/Y4gyvIoxaq

💎 Don't miss it! #WorldCup https://t.co/Vd1RpP3uET"
acrosstheponddc,"Ready for #GroupB action tomorrow? 

Make your reservations for both bar seating and tables. Details here: https://t.co/vF3DYmO4mM

Eng/Wales: bar side sound
USA/Iran: restaurant side sound

#worldcup #Qatar2022 #washingtondc #DupontCircle https://t.co/7DqBTJbb0I"
gekisaka,"／
【🎙選手コメント】
#サッカー日本代表
#前田大然
＼

📝スペイン撃破に強気なFW前田大然「GKにプレスに行くと獲れそう」
https://t.co/vzHPX3Nl7U

#ゲキサカ #日本代表 
#jfa #daihyo #SAMURAIBLUE
#ワールドカップ #WorldCup #FIFAWorldCup https://t.co/Vohwbjp2pI"
Odkhuu48820113,"⚽️2022 #Web3 #WorldCup⚽️
 
📢#NFT Carnival🤩 and #Campaigns
🎁#Wristband Collab #Giveaway on 17th !
📢Who is On the Way 👇
@_p12_
@metaestate_com
@0xNawarat
@Port3Network
 
🔜Coming Soon https://t.co/fXCApNA7NI"
baraye_mahsaaaa,"It’s giving “she deserved it cuz she wore a short skirt” energy. 

What a disgrace.

#WorldCup https://t.co/DUBdmypqAH"
Xk9zy,"𝗙𝗜𝗙𝗔 𝗪𝗼𝗿𝗹𝗱 𝗖𝘂𝗽 𝗤𝗮𝘁𝗮𝗿 𝟮𝟬𝟮𝟮™🏆
𝗚𝗥𝗢𝗨𝗣 𝗘 順位表📝（第2節終了時）

⚽️第3節
🗓️12/2(金) 4:00(🇯🇵)
🆚スペイン🇪🇸

#つな超え #新しい景色を2022
#SAMURAIBLUE #サッカー日本代表 
#ワールドカップ #worldcup #FIFAWorldCup https://t.co/pg5tjVxzgJ"
NifferSancho,"Ready for another #WorldCup test 👊

#MUFC || @MarcusRashford"
Xk9zy,"𝗙𝗜𝗙𝗔 𝗪𝗼𝗿𝗹𝗱 𝗖𝘂𝗽 𝗤𝗮𝘁𝗮𝗿 𝟮𝟬𝟮𝟮™🏆
𝗚𝗥𝗢𝗨𝗣 𝗘📝

1⃣𝖲𝗉𝖺𝗂𝗇 🇪🇸
2⃣𝖩𝖺𝗉𝖺𝗇 🇯🇵
3⃣𝖢𝗈𝗌𝗍𝖺 𝖱𝗂𝖼𝖺 🇨🇷
4⃣𝖦𝖾𝗋𝗆𝖺𝗇𝗒 🇩🇪

🇪🇸 vs  🇩🇪 ⌚️11/28 4:00(🇯🇵)

#つな超え #新しい景色を2022
#SAMURAIBLUE #サッカー日本代表 
#ワールドカップ #worldcup #FIFAWorldCup https://t.co/7JgfKs9QPV"
piuIpiu,My predictions for the World Cup 2022. Create yours now to join the tournament and get a chance to win big prizes! https://t.co/w1VE8PYQLk #WorldCup2022 #WorldCup
hage_momotaro,"イケメンと噂で韓国リーグ得点王、韓国代表FW、昨日2ゴールのチョ・ギュソン選手のInstagramのフォロワーがなんと130万人を突破。
#FIFAWorldCupQatar2022  #WorldCup #korean #Instagram 
#guesungcho #football #韓国代表 #趙圭誠

彼のInstagram　https://t.co/h1Uj03NFG7 https://t.co/uZGRXXklHq"
143Leinad,"⚽ This #WorldCup, we're proud to #MakeItCount with #Messi𓃵!

✅ Join us predict the World Cup winners of each stage to win 1 million $BGB! 

👉 Find out more: https://t.co/Ejc1Uo0Dni

👀 Watch this video to spot clues for our next #BitgetxMessiGiveaway!

#Bitget #BitgetxMessi https://t.co/Prvf4TapSu"
al_yakine,"You don’t see media from Japan 🇯🇵 or Ghana 🇬🇭, Senegal 🇸🇳 or Argentina 🇦🇷  condemning the #WorldCup in Qatar. 

Only Europe and the United States — nations that have colonized the entire world, who still arrogantly believe that they are the center of the world."
meena37474955,Basij deputy Qasem Quraishi has claimed that #Qatar provided the “complete list” of Iranian nationals who traveled for #WorldCup to #Doha. This is reckless &amp; could have deadly consequences. There are dark sides to #Qatar2022! #MahsaAmini #مهسا_امینی #IranRevolution https://t.co/nfDhZkxzKj
